"","883028.WI","883023.WI","883111.WI","883112.WI","883113.WI","883114.WI","883115.WI","883116.WI","883117.WI","883118.WI","883119.WI","883120.WI","883121.WI","883122.WI","883123.WI","883124.WI","883125.WI","883126.WI","883127.WI","883128.WI","883129.WI","883130.WI","883131.WI","883132.WI","883133.WI","883134.WI","883135.WI","883136.WI","883137.WI","883138.WI","883139.WI","883140.WI","883141.WI","883142.WI","883143.WI","883144.WI","883145.WI","883146.WI","883147.WI","883148.WI","883149.WI","883150.WI","883151.WI","883152.WI","883153.WI","883154.WI","883155.WI","883158.WI","883159.WI","883160.WI","883161.WI","883162.WI","883163.WI","883164.WI","883165.WI","883166.WI","883167.WI","883169.WI","883170.WI","883171.WI","883172.WI","883175.WI","883176.WI","883177.WI","883178.WI","883180.WI","883181.WI","883182.WI","883183.WI","883185.WI","883186.WI","883187.WI","883189.WI"
"883028.WI",13472788.47,33159670.33,114951.4163185,35744.404071,29042.80007,60130.818971,152224.977494,100706.0483,65650.64707,75366.75119,57675.36596,73023.73374,135758.4478,57632.4017252,128600.3183431,27666.50666,12731.96157,259229.69693,285732.22814,83579.172817,97030.02231,247561.6184,307341.860801,234667.82454,135139.75453,51882.0436,314311.89425,474403.5397,105790.5419,20624.29384,8289.287366,298.5576618,13.43009247,17.02502549,3505.848136,53664.54232,22733.34908,8152.247627,2654.518875,22249.419275,27382.03928,40452.33108,2254.773624,50563.22391,30847.47688,10898.62792,15241.59919,32940.89161,416436.8555,16742.41899,349344.4162,53591.59186,459440.2413,651807.4257,1118761.339,1224022.167,2438153.574,2936023.53,34363181.78,1825882.924,1099824.639,368166.9585,2665661.173,220151.0962,651163.6558,41514.8892,121929.1454,1877823.733,1241502.101,154195.33076,643546.61644,185540.9132,26678.948645
"883023.WI",1733872.932,20307047.12,21585473.5426,9263998.887,8172722.137,9425091.814,15121675.2682,10538043.233,2795353.756,1871184.34,2616471.658,1931742.207,5312175.15,4717289.2267,17527248.3105,6047923.93,980204.3988,10219193.792,10255076.8978,6775549.4198,2561567.596,7722950.39,12684463.0179,9481773.245,24275319.08,5090302.322,16080845.098,26753230.7351,1776771.35,1120620.63,4595178.744,467921.8526,5699175.846,1467677.818,956560.5543,3117414.176,1077753.226,1146862.221,769443.8063,1279272.9641,5550674.717,236492.5751,249858.7551,16860868.11,5491443.603,2194373.679,2682867.04,755222.3962,5891280.011,1164123.159,1460860.021,82497.10297,1189947.311,1150232.729,3488602.748,10641775.18,2290377.492,4407210.364,5914281.585,459595.2554,647310.2933,489592.3501,14698241.14,1509475.159,4446613.535,204041.3072,1065372.272,2336355.878,7805485.202,1096932.80597,2052009.9847,373178.7136,642139.6396
"883111.WI",0,210928.896998,86409353.7763,44762065.24874,13919785.83122,47924.879743309,0,10092667.1638,0,0,6679.049206,0,11191.85768,469321.7742,13399686.5061147,2815905.26921,81882.405898004,118887.9505301,198922.9220301,0,0,0,53.985997279,0,0,0,0.158493143,0,0,19925.00423,1275111.50134,0,74723171.1201,15627616.0058,2195556.60682,0,0,0,0,0.009413478,11850.62541,0,0,0,0,0,0,140318.753105,0,329519.5883701,85512.53071,0,0,1741504.3171,1741467.7323,43074830.1157,614598.2734,0,0,0,0,0,3573120.56422,489494.9467,39186.62751,105463.03675,113359.6028,3043648.37645,636552.26423,283756.5360758,243792.4814807,15341.555159,3741.706876
"883112.WI",0,90110.8745,7574032.58527,18060082.9794373,5792111.79512,10273.62516,29496.046258376,2595.16041507,25337.79306,5980.353692,4045.24322,0,12247.64933,74.83454492,470570.4924233,506653.961337,552.4806592,62005.64762,1082.440874,2035.9520738,5626.033016,17.05782873,377.349604738,1413.433998,0,392.03638041,32.21576736,0,0,0,0,0,0,0,0,0,0,0,0,0.012090174,68.1916854,0,1846.814357,0,0,0,0,186532.00359,20.97143501,551019.6173538,245478.71164,0,0,0,505852.5992,7955300.059,92597.97673,0,0,0,0,0,0,329120.4596,0,0,0,731033.0858,482022.4039,0,482809.739785,0,1686.265201902
"883113.WI",854634.6894,692933.6428,643512.45741,476743.971683,15557962.9201,135046.138711,318757.306161,1053509.37593,147560.28158,100606.0773,121582.34117,209538.92055,344878.77185,267984.955913,5747686.04281,1648586.4405,37806.21691,253626.00077,655009.481912,257768.525723,221371.10454,447369.4977,539351.708915,464180.5395,311958.9373,121897.41319,544922.337471,409449.116935,109563.8081,389295.15684,11893.520338,24638.85642,5274.8651808,12658.626235,181642.64239,107758.337591,23596.073039,222797.73439,105932.81688,75892.447307,207785.96676,15058.485071,146098.5545,910660.9118,404669.923,288285.8607,93244.47964,643603.16941,308881.8524,26837.467322,1461786.5477,19433.431694,49888.4891,181304.77531,7119065.78,8110687.868,629863.51839,134477.15017,477579.0244,69477.40058,280874.50043,20966.480148,696663.9091,445825.52775,392244.2375,24359.617388,179641.57279,480314.9881,1531235.40079,108180.328447,3244491.083969,91095.00057,45086.46627
"883114.WI",418.0280322,36426.772931,451052.213592,68258.373355,117358.11916,106796049.587,99980535.7187,8617891.2984,234508.8394138,1822735.428975,219035.82845,130678.46017,8387463.874,71241.922894,1133950.66393428,2062836.82351519,1105049.3066746,8846309.2659327,1741062.92940299,188955.476241,366743.6210078,408994.415062,209967.547095948,552551.2466636,1288811.15449,147949.082311241,377445.564514523,174922.001843503,23738.95724,2001537.01932,909.4610994,6792.105236,709.7590387,516.5182837,99661.12989,115602.6949,8974.760951,17001.97503,77320.34374,18894.99908,2297.2222305,4.648944971,229.5036591,106520.71568,9874.462603,2536.3171479,1898.7471236,28115.255389,1026.082128,0,15.65368607,0,0,10971.23066,9215.211608,0,0,0,0,0,0,2947.898789,106079.3752,567912.8493,23500.291603,29618.111371,184931.84929,448061.0517,2341562.45047,45547.8562249,107743.686144,74811.4197,229210.001579
"883115.WI",785692.12266302,657564.409216,349760.14009251,190273.13454867,179167.750495,3128917.222491,38551330.12194,2914969.98422,322807.167849,605164.3677,563566.072895,90974.6156087,2654897.6692,204747.824784693,970455.1097213,342603.393369,198189.926251,1536191.6760284,2199644.787979,723509.1458639,346431.4407702,1037103.73874,1112358.73178756,961273.9751137,2111034.3782459,418035.9476826,1137216.1067356,398109.29451245,112268.94635231,449299.09595,1580.1231074,21211.789604,1092.46011046,3053.4177459,65032.808285,561821.154757,211170.1319066,208062.916857,147384.178676,154667.97799856,284681.74971915,47928.2600997,85713.3888257,3178159.62674,1128811.304505,425919.70013,1111951.261232,103508.1990504,878833.6932937,24320.14076295,340891.5404,1307.29922081,634685.884784,320243.022295,2048834.76224001,328070.68576,221678.0922895,7673.698175,3017701.60979,166300.154063,56653.3461849,7134.6343538,4625289.053062,48000.315514,125914.519591,145103.63942366,380269.11096,67466.159707,2621335.732955,42347.881240123,1244587.66497725,686395.6324168,84970.3143547
"883116.WI",184183.27531,94371.525521,5763.07027449,9870.5039069,5668.7217045,179435.4409706,6435682.6498052,28858016.69891,2934.3352631,2150771.1240332,4226.051997,18732.6355299,750209.73433,4901.3574421,862609.3304051,12230.171834,628.21594689,308075.1966222,33333.189293,6636.55823345,19560.9608554,34034.46212,26072.63869638,402028.6667591,3815710.45493,62000.9748284,207235.282596,38066.74303566,25960.725685,24694.1344408,508.2306355,3124.001716,1967.079436,353.3438876,190602.3851,47383.75279,25679.367028,14525.30801267,6363.6110097,12078.36632976,1941.4956924,1311.1111571,1200.9242476,81871.7778,20677.057235,5467.859126,4194.1888344,43651.10717,44136.384557,728.0042919,4707.988898,669.3437169,6268.355693,32902.888673,14687.130794,14067.733877,61246.9073983,4859.78621,94737.055679,497.6471843,6263.762494,2471.10734631,84358.159265,3017.03805245,17524.039972,1283.14490733,24375.840967,28204.12688142,48535.827136,2632.662100347,96963.020158,14356.99681,7872.5699097
"883117.WI",3579.315845,11119.04014,115452.6663422,61248.407991,121995.9605,333428.46683,300103.69288,162810.63174,43511258.86,20239717.88,1627855.166,305532.8292,3049895.568,79109.596191,418854.98102,17272.95707,222420.0937,678475.6022,1816760.91419,329067.15485,415272.1684,2398913.404,1819702.15252,1062391.65315,549488.5394,409306.733,833597.24191,312806.595003,76329.16285,714176.4524,9770.080626,10998.43498,4031.740374,43066.43751,23614.90978,4020581.328,1473.261134,31239.88533,152662.6987,69760.289759,4206.709234,187.60293,319.9035957,10288479.51,2574954.688,141333.8104,17590950.84,62882.64139,2113.357873,10973.52133,38.22323509,74.10511105,10.71648232,4108.417917,1869.939155,89185.27749,332.5942257,169.1648855,15763.18464,620.7770086,0,0,3138.509169,257.2625979,784.2449428,42130.39048,1696.702753,505.1526463,1175.289026,504.2273022,6619.987125,222462.9017,52572.47257
"883118.WI",210926.7222,225208.813,2876.06878454,5783.5930171,3398.889537,2734.05134316,35136.5286124,2980.650792,251910.0614,458328.18,1330.138265,5416.944163,32928.89133,21157.888639,9218.0961768,6754.066563,1138.695562,11639.83493978,9747.6329676,3582.04402259,1062.7452627,29879.81976,66769.77954974,23063.9366096,2847100.91908,261964.08395,9157.8772346,24119.74634902,1685.231132,4722.341023,11175.19326,14853.47422,2252.946939,50722.73617,39216.65508,24793.1303,13099.10596,4707.831419,2353.301572,1727.4561168,7086.579114,3482.390741,1615.196038,770404.9856,57418.95568,15563.55514,1486109.656,17955.54448,83158.92797,8613.960057,8225.41774,277.493399,88678.97939,19481.84259,57689.19571,52610.02237,73331.89199,34054.73919,416761.5281,4416.780767,7487.754279,455.3512077,172985.5593,10481.3962,32462.54736,7887.459658,14672.25766,107.0262483,171.1948836,9119.369734,17214.173676,6356.382979,1521.9803418
"883119.WI",396392.9176,735471.9911,1575721.62048,2699291.3533,1742792.3682,444549.66369,1032095.26775,1098720.6718,949316.4528,544979.9307,37223435.84,20770776.98,5716224.9,69036.336837,2016176.53429,1468552.232,428570.0933,1390424.0409,6353129.9048,134908.817626,221506.38579,908096.7837,1999768.29788,665816.57698,476389.76354,206140.88231,3583740.0863,3479146.68039,334757.9892,315481.1831,7230.650298,7222.572842,204.3360872,11245.78241,7228.216981,50370.08997,14326.24676,9515.932726,5782.165463,31359.598296,311093.5274,1715.042329,1482.626156,222437.2907,65442.99742,19820.01256,256563.1192,117789.5274,144755.2723,10211.08933,9970.06619,3866.334663,35903.60305,36437.67622,170959.3545,316531.5932,102950.5631,951410.7654,1491278.326,100717.2884,115664.0162,1099.183977,12999590.25,129443.874,240503.8828,6762.253861,27518.11163,1767204.49,127873.9651,1930320.529886,6612.2535552,8243.985103,111217.0641
"883120.WI",755720.0729,6046598.106,185824.924424,142519.548738,724756.6226,40016.100465,264137.261125,86844.73438,58904.58992,64945.55171,323947.8337,1638836.982,240141.3298,38591.471695,525970.24072,594633.4141,80397.83043,138090.22753,247989.17644,65793.321041,49431.46092,210618.6883,289025.67342,239315.20691,274765.139,52249.664974,825064.04287,504021.37368,70529.89358,19320.87482,5039.38424,11013.60015,1144.820512,41485.70284,43011.98886,51747.82366,17319.72528,210990.9685,10326.00111,13382.621864,98853.97349,9013.098057,7476.702804,154909.3778,156144.5409,33482.49868,39460.66737,28684.02276,100287.8989,3585.321839,34731.18247,2861.930067,11736.16933,38412.05929,23811.16684,95753.0102,651875.5644,5617835.361,7875819.631,778166.3181,572248.004,449503.3831,12175069.5,164333.5132,609572.633,18746.76141,164770.9109,1192086.24,376105.4496,2484768.8695,491278.83365,51188.99171,4885.9351004
"883121.WI",986590.579,604325.301,244907.623383,258194.61512,162247.95001,103567.50372,424514.320022,218825.36343,92507.04873,70435.62402,228593.5656,175276.1773,10205595.63,43050.491734,513073.11763,466247.4092,65415.69933,275084.42936,422081.10143,172957.84091,129129.24046,570282.909,613929.03913,312411.21897,321957.66638,131292.23971,1174558.88578,772409.95134,127349.5765,39675.46432,645.0948441,4458.520091,207.7399894,1606.59957,785.6542933,144088.7767,38317.21839,203586.1925,73856.98359,41986.439665,269917.3003,16659.19258,33513.08731,1189049.131,378244.4563,373310.1928,617263.9223,26963.93953,639162.8238,12975.20601,47292.39118,9808.782405,22769.47359,529843.2081,132082.0967,154257.9301,272986.8872,368791.3701,6450356.635,469763.1933,1025069.928,30743.95867,2039483.381,216862.0485,390263.1832,32481.7208,344484.2433,2006528.716,185615.2027,116270.59924,319561.36708,160073.3381,34961.94887
"883122.WI",691579.5635,2115434.883,514013.54461,292692.93198,473636.07913,255351.60578,461877.00445,227133.57141,704417.5774,244699.4857,335539.5528,153874.0475,499577.7096,28380279.2518,67553079.634895,347095.4776,4348553.377,2131172.68322,17690502.99343,42709180.75673,8115284.19289,2251324.7414,2278642.15418,1363122.3562,1403577.321,813544.9392,1697206.15125,1383560.9908,185759.7071,236052.66293,10417702.42,885136.9758,880312.6772,1624577.958,683581.5321,1492135.2318,3890554.626551,3405869.0624,2912139.05284,3704545.77941815,19206750.0469,458925.3401,37819.13408,5514253.3989,10362617.5734,746894.98715,948166.01098,3486660.129638,46938312.81,11831191.65,13021153.32,804479.745,13148872.67,736343.876,664534.6109,70262.65258,380887.3023,85690.96574,2207482.082,114359.888,122943.5761,2060292.423,18389761.86,215465.3691,5573520.971,91639.87891,746317.5539,1501544.549,367644.7583,102478.29172,118370.42793,84136.77582,339352.43393
"883123.WI",296595.164675,81364.5616722,703738.01299262,1236417.51695521,1665385.685063,4517183.444683,1423595.33429146,6256350.78324,9445384.26433,2029334.5147,13501396.2507,4041393.74793,5870124.2056,9330910.5878759,259416898.213203,9096639.09747,20137873.456455,96953787.31663,28681144.0462994,3627979.68895264,10942876.133729,13018788.44294,6314870.6440138,5007702.575494,5547101.562209,2521326.8494471,23534755.1234974,17825922.4187381,760690.45672,1562670.24658,62679558.0094884,2005504.676828,4970.44111765,23956.5095529,196471.8481272,3741289.936,2994437.578003,2606396.771099,2263984.532552,3874918.0865763,450990.158762,95550.0590526,774035.56155516,19006984.062,12140833.89997,3871641.55538,5583014.00915,96775.715523,36491.7801513,53212.755238702,1624.903449203,86506.024579,59538.6378558,2158875.19355752,1246575.77855,186170.58318208,10684.8160104,1549074.91828568,387279.1347,16552.504521,10788.033793,4776.34505307,6340956.638089,4036826.15453,9135915.29181,513101.765374,2501332.67883,4064970.66494,183554.228943,725254.692681,472910.8119613,107833.54594,887578.20868523
"883124.WI",5354.445028,8903.142169,349910.4928108,283236.99932451,61699.68414,403.55608032,7136.5198584,111046.15959,239.5915656,1183.370648,159496.0758,403.3815352,2162.411442,8360.9953076,977202.780517,32642722.35,12382.84777,65270.220557,252824.80730188,96427.560927,30366.870668,96463.70412,22336.438548175,180954.464127509,5052.8316809,7523.76777497,17388.172553549,273912.0956581,7172.41766,87683.75227,1965.479363,19427.26132,2858690.315,187509.2361,829161.0904,55237.2358,4798.840967,24480.24033,22074.25957,8960.2226,12537.47189,23.96690015,1929.860361,591378.6103,235231.3738,86734.44176,67128.31477,8430.165108,44295.24715,951.711629,7154.463966,4731.73686,1934.559416,10571.06979,7.303453878,0,103792.3654,974.7726214,50881.33377,1931.660783,3134.192787,1558.853295,47507.59877,250118.4381,662449.9118,32287.75922,2881.70506,31952.82351,73052805.53,38570.592311,19085.9840925,2118.331141,2399.496330333
"883125.WI",2827.247866,0,2.331627201,2540.747300185,915.6887449,20912997.141,11887887.567,374118.9699,7321.938643,304348.1611,374642.1028,8661.689362,1295395.985,34654.4187349,1189304.3614718,234132.3973,18067393.47,4121627.3238,423528.9058158,13313.7413937,6926.3531285,190422.7441,147666.5632787,569536.6938975,409788.671457,65903.580452,651660.571849618,137545.99856066,1451.521724,1172305.363,6600.799734,0,0,251170.2294,81136.62219,3723.525994,34.7312108,1020.615861,1357.918408,642.5119758,8375.12003,11981.76775,5044.729669,157751.4853,58775.53139,22213.48876,17633.00431,3064.93813,302.8906979,943.5041416,7591.965097,4908.837295,19818.33881,15078.17528,0,0,0,0,0,0,0,0,0,82133.47019,43632.57777,0,0,0,0,0,894.1390447,0,12223.853168696
"883126.WI",258212.68522,1311341.2134,4023579.442269,3698510.494225,4221516.14229,506047.176494,2142461.019423,7706622.2286,1497568.383,1760334.4926,2025495.197,3172640.9487,5961013.7228,570312.96943,20540629.796562,963556.8178,1925258.28766,57279729.311,7180519.27251,1020824.8963,574517.72237,4225748.842,8448867.54537,10098179.88772,18967264.99,5097252.4675,22177268.0703,18470801.12763,1501155.7598,1736368.3621,6530051.235993,93608.91237,785.4819582,17834.3095662,8249.5771215,1000247.2588,89606.13161,1258757.83616,151103.17445,959875.0626,102090.036,36778.804731,378832.380817,10196451.6528,6381739.105,1083759.05159,1156501.0922,73771.55452,4910868.3884,20872.309263,33561.227283,2135.798325,29912.41784,358892.4995,332533.783192,366072.814080298,10779.926483,21.95122096,40649.54515,639.8794352,4616.4435876,7640.5912392,517948.178918,98232.4847,21888.394739,85856.76069,811227.9999,5014.18065918,252024.96822,3192.2158701,8130.4143411,2942.460584,878776.05041
"883127.WI",45718.95772011,45360.48505,190174.481807673,632944.354013324,3135788.78582678,256866.492651095,107372.471039343,128603.307776007,284685.438805,975780.1172046,171283.7109701,20666.37433321,637468.252998,2891877.97148925,3750046.17372015,2008446.274399,57040.6323785,1636355.09059409,92477446.8413429,12299453.2191827,5405776.5575917,3424973.06756,3415511.01690592,1584854.90105469,6231116.060349,743919.86206842,13502686.8062743,7230912.97012492,1635497.329639,411274.62034591,24294.192889,52340.047557,5511.3083484,153878.119774,53914.164151,980436.8591917,97287.46695927,248282.7626275,380170.061187,1632597.1259674,358173.16658,9017.14328308,15149.01389378,200573224.106,43589247.6263,8808786.28413,16662097.9391,177517.603262,15657.5225264,1456.192533752,51057.589130075,519.109560565,14952.505938,304609.48481,52844.8897768,50078.90944784,55764.40871925,66759.94896392,31280.702976,372.22087952,19217.2542277,27522.3985648,152974.50235027,344225.576803921,366922.09672954,49368.88982525,679711.117923566,517123.54484519,172219.6962626,28443.666346781,256757.62956243,48987.464793462,177902.5564144
"883128.WI",1586.875943,23473.18544,48520.366478,42007.8393332,26172.50383,33581.9825372,67539.313553,49794.3333,112045.0366,1672635.246,81445.65062,22306.55919,1683301.80974,63459.916842,963022.832252,33422.009953,12633.431876,1283928.91239017,7653592.7143452,202538884.9094,3993042.27366,82794141.2176,51467247.855271,41168085.40574,33488854.11,14268602.182403,20591509.42764,2500842.20567807,1771152.203158,262405.786045,1424.68032007,6562.987967,1223.1455,11006.46247,451.2576849,9741719.9911666,4687666.8506919,1002492.141482,637505.583476,1107096.4200995,196308.229747,57476.850522,23443.55521,129794282.7749,58018160.344417,10183650.06,1536809.50069,1093747.118814,21671.3544096,119736.2808275,505.6870325,46569.93412,523698.97,128.794277,359.8959078,46.69540438,69.25445289,50.42003567,0,0,0,29.65407127,98.52455772,37732.837753,277224.63544,14861.129384,39108.35336,10816.705922357,0,0.301439,7224.668376144,5076.324452,803581.420756
"883129.WI",42.84551066,22279.021741,5088.315247936,16454.751355881,7960.1019848,15330.64587651,38465.08481957,96122.4723357,106936.01788,236286.86053,125258.28571,714924.3389,16667286.554,10930.965058898,5973098.1360039,38806.20804,84625.02935688,507008.32271,3497783.897156,17330867.49277,165515710.266,28678123.43,27487999.99971,10636193.5141,24479031.915,6079182.4352,109511563.1,18358561.5855,1769664.1298,1709734.0161,45.64715025,358.93521064,0.077907682,2.282193302,593.3836957,87205.59865,1616.9720007,16482.018067,349563.624685,98870.0811159,38413.22407,5838.67157902,3132.002986,17473332.232,70809.48347,374169.7872,1765517.2456,5868.35245,1058.91842096,31.00278542,0,0,0,0,1004.588627,0,0,0,0,0,0,0,728.1381647,10.66386259,1298.150724,2470.204806,14753.218,19629.9012,8.709733906,0,1340.067564,1054.989702,1601061.66
"883130.WI",652556.6006,161271.583,375046.868654,875341.89871,1275467.3008,115567.25733,497028.406685,186634.14031,3419544.293,3145805.009,525925.8349,320204.7359,1272961.148,220082.03691,3021508.973,484760.643,52195.77504,3998389.024,12539873.9861,5823346.76345,691590.938,42757937.1,18033212.8831,13351794.5252,8412960.881,4733220.082,19693985.9161,9317660.8925,1913730.532,659177.4433,65990.36922,115682.1028,5448.894868,81569.25892,139265.8837,4496662.045,626904.7138,1672023.381,1167512.608,1760132.8263,147917.0087,21681.34396,403344.6711,33864000.46,14881182.29,5268514.526,3741257.851,77223.2198,85979.46344,134646.9309,18774.77293,1259.38084,1606376.549,538769.1886,121636.978,62344.61742,24092.53907,19827.95834,78443.10928,12.27798202,1150.870995,686016.1359,9231914.927,1559349.718,2541109.408,38805.05888,132537.5231,441992.8661,54897.68401,11947.400865,46162.013276,6033.806723,848041.6408
"883131.WI",119195.857259,177431.493784,560689.99486202,371200.02655582,271636.0786701,679150.649523434,406518.070620635,265931.81136694,1238223.601322,294595.3819216,356533.785528,145594.815977,395820.785955,2547661.4769783,4859693.19027485,1037277.525727,95842.8987262,1219811.235204,10064650.9834102,19113507.5440132,930548.0819096,9034919.08396,86858152.3968011,33191224.038762,21858947.887529,13002101.2301564,19296947.4481478,3178482.94381633,1601633.873673,559094.7236977,5901.650137533,16605.3768026,432.189041727,34889.62031276,41154.7341144,4327141.50168,1461245.379472,1807679.733718,1291543.6260917,1387672.2906166,1629526.920901,58754.117058965,91690.1926005,2676470.55829,1406660.84392,2811764.9582665,175492.27727234,120110.2640322,272385.627512611,1605183.58171134,1719797.92528163,150704.5290125,3099281.412126,614399.79094,42954.8852007,43980.517518,47749.930759,2300.82513066,515473.25749,258.63601972,9487.6391363,2789.932919,221463.4652133,27023.713884,315946.245371,1882.09476547,53167.065877,224951.166488,4448.8065152,28493.09495459,17326.891140175,4554.88335969,656611.3582585
"883132.WI",166807.5229,7529.729347,394620.99168401,144478.292840561,517411.46079847,1182349.1574701,1201257.0161707,515658.198508,585247.74683,199931.7238558,733688.07388886,741105.8350821,194727.7441465,964490.14721,2693630.13186591,253877.33548,68316.7713861,763949.014531,3639863.0519408,2791636.738447,469300.249268,3888587.547,2413679.911119,39574149.4988441,596457.36235,869596.805798,2169196.59220097,2822994.11320975,980568.71137,103755.80116,4121778.0617862,593099.818078,380815.579011501,574977.768323,170028.38167,4426571.1648783,3582471.77119,1942485.5742841,1550497.2750629,3230928.4231134,226114.713609,34552.0723943,35099.918662966,2108550.27578,1496824.8574502,1597082.9648,1427252.3773,20131.477805,23005.59397,795.4836726,1175930.517,64.45385329,167.2160837,396307.4583,12556.66391,29582.70919,13129.1252,1977.047916,807507.2015,41431.39714,8633.101435,37.41238705,1390.612104,9201.475416,15158.06727,44675.18545,2110.458592,6725.208775,7258745.026,10928.13193,1031.8133518,518.3773577,255360.02162747
"883133.WI",54929.55678,1742107.4931,45627.7978015,24325.5726536,12164.942120534,9682.995582,15787.8399581,19387.485988,11523.75531,4880.505628,16627.30097062,9352.117438,30379.74009,113911.17917,124421.6607319,10645.76385,7355.970339,32389.530326,2016777.06638477,260587.4060015,45651.1652199,395094.9783,3728003.0733672,8174698.3732531,177679581.2376,462742.6621783,80368.869715,307270.54067,94028.12431,22204.64846,116701.3642,93781.58567,77382.78568,117939.8772,117718.4489,142561.47275,95696.936858,184836.55779,250345.3296,545692.99972,29183.58892,5139.801449,3233.657917,180892.8354,219180.7482,22332.63605,99223.21432,12628.67678,29296460.189,3982.958582,20494.98651,91151.99922,5480.711756,35153.3735,239237.6254,45956.02894,26034.83736,1197225.282,463310.9207,4453.88647,26737.86003,415916.9515,14619812.76,383418.1913,1533650.773,236223.3735,1151572.873,1863.079256,222585.7177,8354.63123,9497.5622886,13686.74236,79077.09299
"883134.WI",3416.852071,3576.427501,641.03337667,461.200391066,178.52464124,13.892691287,2045.588874625,74.092811155,493.7454367,7.414838506,31.62841922,665.7576182,7222.940477,5379.92094435,12148.096100065,642.721641032,2.616652991,7980.82009558,1709.54234523,34076.58625376,1534.01812659,29936.86393,1226621.99482257,198974.164442491,63776.7533154,25129880.81036,58646.18421671,830.43515887,10750.737192,127.38407148,12894.31826,16776.90776,7645.964831,523497.90279,30293.162,23157.73409,9471.673690337,14907.3617514,24875.743259,7295.904943684,228.99049284,178.798464099,97.976816069,510820.2228,197591.560702,2573.967152,1974.393275,3275773.2682013,277215.66626,3577258.769628,4075242.29889294,10115.76905,310964.787543,47199.04281,889.2730381,1127.41494,38321.29663,95723.49448,72485.20243,2876.334292,51429.99617,25492.78041,6057.768154,7540.214502,56333.73497,4237.00870778,3001.509676,258.1184011,28527.08504,315.113011,80935.5919974,54084.60648,932045.76441
